,accident_id,icao,iata,name,state,country,country_code,lat,lon
1859,ACC1833,xxxx,FDU,Bandundu Airport,,Democratic Republic Congo,CD,-3.3113200665,17.3817005157
210,ACC184,xxxx,xxx,Iranian border,,Pakistan,PK,33.70964,73.07544
1866,ACC1840,xxxx,xxx,Demnate,,Morocco,MA,31.73316,-7.00235
1876,ACC1850,xxxx,LGB,Long Beach Municipal Airport,CA,United States,US,33.8179297222222,-118.151890555556
1878,ACC1852,xxxx,xxx,Tianshan mountains,,China,CN,39.90657,116.38765
1879,ACC1853,xxxx,xxx,Mayo,YT,Canada,CA,64.03525928090029,-135.77020986215575
1880,ACC1854,xxxx,YXE,Saskatoon Airport,SK,Canada,CA,52.170791074885976,-106.6905767337437
1881,ACC1855,xxxx,ROW,Roswell International Air Center Airport,NM,United States,US,33.2998696666667,-104.529397638889
1884,ACC1858,xxxx,xxx,Prahuaniyeu,RN,Argentina,AR,-41.160785678816254,-67.90499
1890,ACC1864,xxxx,XPK,Pukatawagan Airport,MB,Canada,CA,55.7491989136,-101.2659988403
1894,ACC1868,xxxx,YRB,Resolute Airport,NU,Canada,CA,74.71689531778023,-94.96722262171208
1896,ACC1870,xxxx,xxx,Neschadinovskaya,Krasnodar region,Russia,RU,45.024710849653886,38.94265370092011
1898,ACC1872,xxxx,xxx,Nightmute,AK,United States,US,60.60303502482863,-164.72094
1899,ACC1873,xxxx,xxx,Notnare Village,"Yahukimo district, Irian Jaya",Indonesia,ID,-6.17148,106.82648
1901,ACC1875,xxxx,xxx,Yellowknife,NT,Canada,CA,62.45446,-114.37094
1902,ACC1876,xxxx,xxx,Heitman Lake,AK,United States,US,57.82374,-152.36662
1903,ACC1877,xxxx,xxx,Utsingi Point,"Great Slave Lake, NT",Canada,CA,55.2867,-114.77155
1907,ACC1881,xxxx,xxx,Xakanaka Airstrip,,Botswana,BW,-24.65528,25.91903
1908,ACC1882,xxxx,YVR,Vancouver International Airport,BC,Canada,CA,49.1939006614283,-123.18147959275979
1910,ACC1884,xxxx,ZGP,Bilogai/Sugapa Airport,,Indonesia,ID,-3.73931,137.03201
1925,ACC1899,xxxx,JMO,Jomsom Airport,,Nepal,NP,28.748625336568423,83.66955463746986
216,ACC190,xxxx,IBZ,Ibiza Airport,,Spain,ES,38.87277008771732,1.2664925971458545
1928,ACC1902,xxxx,xxx,Modena,"Iron County, UT",United States,US,37.80191929227569,-114.08462680935834
1929,ACC1903,xxxx,xxx,Borodyanka Airfield,,Ukraine,UA,50.6406464038282,29.936119871178583
1931,ACC1905,xxxx,HTN,Hotan Airport,,China,CN,37.0385017395,79.8648986816
1934,ACC1908,xxxx,xxx,Bolshoe Gryzlovo Airport,,Russia,RU,54.8045,37.62952
218,ACC192,xxxx,BRE,Bremen Airport,,Germany,DE,53.0475006104,8.7866697311
1946,ACC1920,xxxx,xxx,Snow Lake Airport,MB,Canada,CA,54.87464598680758,-100.00875796828244
1951,ACC1925,xxxx,xxx,Libby Airport,MT,United States,US,48.34513842980854,-115.46365211239933
1952,ACC1926,xxxx,YSK,Sanikiluaq Airport,NU,Canada,CA,56.5377998352,-79.2466964722
1954,ACC1928,xxxx,HEH,Heho Airport,,Myanmar,MM,20.73800652454081,96.7919998169
1955,ACC1929,xxxx,ALA,Almaty Airport,,Kazakhstan,KZ,43.362274181711946,77.06284839385233
1958,ACC1932,xxxx,GOM,Goma Airport,,Democratic Republic Congo,CD,-1.6708099842,29.2385005951
1959,ACC1933,xxxx,DLG,Dillingham Municipal Airport,AK,United States,US,59.24755342341601,-158.42585504628548
1966,ACC1940,xxxx,xxx,Jyl-Kol,Jalal-Abad region,Kyrgyzstan,KG,41.55663595531497,72.4525990070027
1971,ACC1945,xxxx,NGE,N'Gaoundéré Airport,,Cameroon,CM,7.366003103759187,13.5592002869
1977,ACC1951,xxxx,FRW,Francistown Airport,,Botswana,BW,-21.130344261049316,27.45111518649794
1979,ACC1953,xxxx,SXQ,Soldotna Airport,AK,United States,US,60.4751388888889,-151.039638888889
1983,ACC1957,xxxx,AEY,Akureyri Airport,,Iceland,IS,65.68796886327745,-18.08169134632141
1988,ACC1962,xxxx,xxx,Ivanhoe Lake,NT,Canada,CA,45.3390504602397,-75.65684023495025
