,accident_id,date,year,icao,iata,name,state,country,country_code,lat,lon
818,ACC950,1991-07-10,1991,KMOB,MOB,Mobile Municipal Airport,AL,United States of America,US,30.6914166666667,-88.2428333333333
819,ACC951,1991-07-15,1991,USHU,URJ,Uraj Airport,,Russia,RU,60.1032981873,64.8266983032
820,ACC952,1991-08-15,1991,DNKN,KAN,Kano International Airport,,Nigeria,NG,12.0475997925,8.5246200562
821,ACC953,1991-08-20,1991,PAKT,KTN,Ketchikan International Airport,AK,United States of America,US,55.3540833333333,-131.711222222222
822,ACC954,1991-09-03,1991,WAOS,SMQ,Sampit Airport,,Indonesia,ID,-2.4991900921,112.9749984741
823,ACC955,1991-09-04,1991,WBGZ,BBN,Bario Airport,,Malaysia,MY,3.7338900566,115.4789962769
824,ACC957,1991-09-17,1991,UERL,ULK,Lensk Airport,,Russia,RU,60.7206001282,114.825996399
825,ACC962,1991-10-25,1991,WAOP,PKY,Palangkaraya Airport,,Indonesia,ID,-2.2251300812,113.9430007935
826,ACC965,1991-11-07,1991,URWI,ESL,Elista Airport,,Russia,RU,46.3739013672,44.3308982849
827,ACC966,1991-11-16,1991,UUWR,RZN,Ryazan Airport,,Russia,RU,54.5559005737,39.8552017212
828,ACC968,1991-11-26,1991,USNN,NJC,Nizhnevartovsk Airport,,Russia,RU,60.9492988586,76.4835968018
829,ACC971,1991-12-22,1991,EDFE,xxx,Egelsbach Airfield,,Germany,DE,49.9599990845,8.6458330154
830,ACC978,1992-03-22,1992,UESO,CKH,Chokurdah Airport,,Russia,RU,70.6231002808,147.9019927979
831,ACC982,1992-04-10,1992,RCLY,KYD,Orchid Island Airport,,Taiwan,TW,22.0270004272,121.5350036621
832,ACC983,1992-04-14,1992,AYMD,MAG,Madang Airport,,Papua New Guinea,PG,-5.2070798874,145.789001465
833,ACC984,1992-04-22,1992,xxxx,xxx,Perris Valley Airport,CA,United States of America,US,33.8648,-117.25618
834,ACC986,1992-05-02,1992,SKCL,CLO,Cali Airport,,Colombia,CO,3.54322,-76.3816
835,ACC991,1992-06-12,1992,KSBM,SBM,Sheboygan Memorial Airport,WI,United States of America,US,43.7697777777778,-87.8517222222222
836,ACC993,1992-06-22,1992,UOII,IAA,Igarka Airport,,Russia,RU,67.4372024536,86.6219024658
837,ACC996,1992-07-13,1992,PABE,BET,Bethel Airport,AK,United States of America,US,60.7785555555556,-161.837166666667
